99,5
99,982
99,911
99,156
5,502
5,256
292,796
292,190
797,385
797,204
796,277
796,204
291,277
291,204
397,542
397,541
982,77
982,454
982,156
77,889
77,80
77,279
77,156
454,542
454,541
156,844
156,831
156,535
156,154
95,669
95,668
95,667
95,665
95,664
95,578
95,575
95,574
95,573
95,572
95,259
95,258
94,669
94,668
94,667
94,665
94,664
94,578
94,323
94,322
94,321
94,320
94,197
477,542
477,541
942,624
942,623
942,374
624,617
624,1092
623,617
623,1092
374,133
374,132
374,131
93,669
93,668
93,667
93,665
93,664
654,62
654,242
242,932
242,239
932,187
187,617
187,62
92,895
92,669
92,668
92,667
92,578
911,502
911,256
575,665
575,664
575,1250
574,665
574,664
574,257
574,1250
573,665
573,664
573,257
573,1250
572,665
572,664
572,257
572,1250
259,665
259,664
259,257
259,1250
258,665
258,664
258,257
258,256
258,1250
91,895
91,669
91,668
91,667
91,1092
629,668
629,667
629,80
629,475
629,418
256,844
256,831
171,418
171,190
171,79
171,154
80,79
80,668
80,667
80,1036
669,668
669,667
669,471
895,665
895,664
895,323
895,322
895,321
895,320
895,197
895,152
665,1250
664,1250
323,279
322,279
321,279
320,279
197,279
152,831
152,109
890,109
890,1015
109,889
889,1015
614,615
614,490
614,163
385,134
385,133
385,132
385,131
257,277
79,471
79,303
379,134
379,133
379,132
379,131
542,699
542,476
542,453
542,415
542,303
542,279
541,699
541,476
541,453
541,415
541,303
541,279
844,535
844,277
831,535
831,277
535,415
668,475
668,1036
567,506
567,504
567,314
62,490
62,239
62,121
568,506
568,504
568,314
566,506
566,504
566,314
121,617
121,314
121,1092
163,617
163,613
163,154
163,1092
613,615
613,490
490,615
667,475
667,1036
131,1177
134,1177
133,1177
